TITLE = Z = F(X) * F(Y)
VARIABLES = Y, X, Z
ZONE T='ZONE1', I=101 J=101, F=POINT
-15 -15 2.64184e-037
-15 -14.7 1.00767e-036
-15 -14.4 3.75802e-036
-15 -14.1 1.37034e-035
-15 -13.8 4.88567e-035
-15 -13.5 1.70314e-034
-15 -13.2 5.80501e-034
-15 -12.9 1.93457e-033
-15 -12.6 6.3037e-033
-15 -12.3 2.00833e-032
-15 -12 6.25607e-032
-15 -11.7 1.90545e-031
-15 -11.4 5.67441e-031
-15 -11.1 1.65224e-030
-15 -10.8 4.70385e-030
-15 -10.5 1.30937e-029
-15 -10.2 3.56369e-029
-15 -9.9 9.48343e-029
-15 -9.6 2.46751e-028
-15 -9.3 6.27743e-028
-15 -9 1.56147e-027
-15 -8.7 3.79763e-027
-15 -8.4 9.03067e-027
-15 -8.1 2.09969e-026
-15 -7.8 4.77331e-026
-15 -7.5 1.06099e-025
-15 -7.2 2.30587e-025
-15 -6.9 4.89986e-025
-15 -6.6 1.01803e-024
-15 -6.3 2.06808e-024
-15 -6 4.10773e-024
-15 -5.7 7.97747e-024
-15 -5.4 1.5148e-023
-15 -5.1 2.81239e-023
-15 -4.8 5.10533e-023
-15 -4.5 9.06151e-023
-15 -4.2 1.57255e-022
-15 -3.9 2.66832e-022
-15 -3.6 4.4269e-022
-15 -3.3 7.18109e-022
-15 -3 1.13896e-021
-15 -2.7 1.76626e-021
-15 -2.4 2.67812e-021
-15 -2.1 3.97039e-021
-15 -1.8 5.75527e-021
-15 -1.5 8.15691e-021
-15 -1.2 1.13035e-020
-15 -0.9 1.53155e-020
-15 -0.6 2.02897e-020
-15 -0.3 2.62815e-020
-15 1.29896e-014 3.32853e-020
-15 0.3 4.12176e-020
-15 0.6 4.99047e-020
-15 0.9 5.90784e-020
-15 1.2 6.83824e-020
-15 1.5 7.73906e-020
-15 1.8 8.56368e-020
-15 2.1 9.26534e-020
-15 2.4 9.80145e-020
-15 2.7 1.01379e-019
-15 3 1.02526e-019
-15 3.3 1.01379e-019
-15 3.6 9.80145e-020
-15 3.9 9.26534e-020
-15 4.2 8.56368e-020
-15 4.5 7.73906e-020
-15 4.8 6.83824e-020
-15 5.1 5.90784e-020
-15 5.4 4.99047e-020
-15 5.7 4.12176e-020
-15 6 3.32853e-020
-15 6.3 2.62815e-020
-15 6.6 2.02897e-020
-15 6.9 1.53155e-020
-15 7.2 1.13035e-020
-15 7.5 8.15691e-021
-15 7.8 5.75527e-021
-15 8.1 3.97039e-021
-15 8.4 2.67812e-021
-15 8.7 1.76626e-021
-15 9 1.13896e-021
-15 9.3 7.18109e-022
-15 9.6 4.4269e-022
-15 9.9 2.66832e-022
-15 10.2 1.57255e-022
-15 10.5 9.06151e-023
-15 10.8 5.10533e-023
-15 11.1 2.81239e-023
-15 11.4 1.5148e-023
-15 11.7 7.97747e-024
-15 12 4.10773e-024
-15 12.3 2.06808e-024
-15 12.6 1.01803e-024
-15 12.9 4.89986e-025
-15 13.2 2.30587e-025
-15 13.5 1.06099e-025
-15 13.8 4.77331e-026
-15 14.1 2.09969e-026
-15 14.4 9.03067e-027
-15 14.7 3.79763e-027
-15 15 1.56147e-027
-14.7 -15 1.00767e-036
